Party,Handle,Tweet
Republican,RepKenBuck,"This week, I had the chance to announce and congratulate Colorado's Doodle 4 Google competition winner, Sawyer Oja… https://t.co/MXhDq9ROrt"
Republican,RepErikPaulsen,"RT @TradePartnersDC: “To drive home his concerns, @RepErikPaulsen cited a study by the Trade Partnership, a Washington-based analytical fir…"
Democrat,RepBonamici,RT @RAEstuaries: @RepBonamici : “the U.S. needs to be leaders in conserving our #oceans and #coasts.” #saveourblueplanet #TheMoreYouNOAA #E…
Republican,RepHuizenga,So pleased to see @ConsumersEnergy is passing along 100% of the tax cut benefit to its customers. That is $200 Mill… https://t.co/9ai5V3ygfX
Republican,RepWesterman,"Tomorrow is tax day, the last day you will ever have to file a tax return using an old, outdated tax code! https://t.co/dxw5j3Sot0"
Republican,RepErikPaulsen,"RT @JECRepublicans: GDP = Dragon Energy! Chairman @RepErikPaulsen on BEA's estimate of Q1 2018 GDP:

""Americans are better off today than t…"
Republican,HouseAdmnGOP,"Tomorrow @ 11:30am, CHA will hold a hearing to examine the Smithsonian's priorities &amp; hear from Sec. Skorton. Watch… https://t.co/xWgS2rI0O8"
Republican,RepBradWenstrup,I got a chance to speak with @FOX19DANW and @FOX19JESSICA about the Wounded Warrior Fellowship Program. Click here… https://t.co/SIj4dsONzC
Democrat,pedropierluisi,El personal de nuestra oficina ha estado en comunicación directa con la Guardia Costera de EE.UU ante el incendio del ferry.
Republican,RepublicanStudy,"RT @jasonyaworske: WSJ: ""Republicans in Congress seem prepared to rest on their tax cut success from last year and coast for the rest of th…"
Democrat,repdinatitus,"#ICYMI, I haven't given up my fight to prevent cruel acts against animals for entertainment. There is no reason the… https://t.co/41RwSxJPu0"
Republican,Robert_Aderholt,Assistant Mad. Co. DA Jay Town is an excellent choice for US Attorney for the Northern Dist. of Alabama.
Democrat,RepLujanGrisham,"On #TeacherAppreciationDay just like every other, I’m proud to fight for the 9,000 teachers like Ivonne, a #Dreamer… https://t.co/j8U4u3YTvS"
Democrat,DorisMatsui,RT @rosadelauro: The ideas Democrats are pushing for aren’t controversial. We should be helping our veterans. We should be fighting the opi…
Democrat,RepMcEachin,I pledge to help right this wrong by fighting for the funding that my constituents and other hardworking Americans… https://t.co/l9xyqd3bOI
Democrat,RepSpeier,ICYMI #SurvivorsJustice involves being heard and being healed. Powerful piece in the @nytimes by @SofieRKarasek https://t.co/wfuf2M4oMT
Democrat,RepMarciaFudge,"RT @BarackObama: Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless students s…"
Republican,CongressmanGT,On Floor to celebrate #worlddownsyndromeday to celebrate the achievements of those living with Down Syndrome making… https://t.co/RxfFyxIyfz
Democrat,RepTimRyan,Everyone come out for an hour and let's let TJX know that we want them in Lordstown. 👇🏽 https://t.co/WWehzXSTg3
Democrat,RepSwalwell,He’s right. There’s a smoking cannon. #TrumpRussia https://t.co/vwHriIVSSY
Republican,RepJimBanks,"To the men and women who have been killed in the line of duty, our country is forever indebted to your service and… https://t.co/6hu7PzwBTC"
Republican,SamsPressShop,Welcome Home Col. Chuck Booze.  Your North Texas neighbors are grateful for your service and sacrifice in defense o… https://t.co/RqpCKbJBMB
Democrat,janschakowsky,"RT @RepJohnYarmuth: A statement on the ongoing violence in Gaza from me, @janschakowsky, @RepDavidEPrice, @RepLloydDoggett, @repblumenauer,…"
Republican,RepAdrianSmith,Met yesterday with #AgLeaders on the Nebraska Cooperative Council and visited Kroeker Grain &amp; Lumber in Henderson f… https://t.co/FGquuUzmcO
Republican,GOPoversight,".@RepDeSantis: I hope the witnesses can shed light on what the Trump team got right here, what we could improve on,… https://t.co/zX1XAd2Uuo"
Republican,RepMoBrooks,RT @whnt: WATCH LIVE: Medal of Honor Celebration ceremony held in Huntsville to honor Capt. (ret.) Mike Rose for his bravery in combat duri…
Republican,DarrellIssa,"Hint: it’s thanks to California Democrats’ new gas tax hike that took effect this week

https://t.co/LbKSvkAALH"
Republican,USRepLong,"RT @JoplinGlobe: .@JoplinHS junior Emma Briley has recovered from two leg injuries, but not the chip on her shoulder. That has helped drive…"
Republican,SteveKingIA,People who have lived under socialism cherish their Freedoms more than the generations who inherited their Freedom. https://t.co/4ZDOse3WXM
Republican,PeteSessions,As we begin tonight’s @RulesReps hearing I would like to take a moment to remember and honor my dear friend and col… https://t.co/uI2i0iSLwa
Republican,congbillposey,guidance for water main break - Cocoa https://t.co/tEVZA9fvhs
Democrat,RepBRochester,I joined a group from the @WomensCSA to discuss how we can work together to promote ourselves and encourage the oth… https://t.co/FfA3mITX7u
Republican,RepMarthaRoby,Some @aumontgomery nursing students came by today during their trip to DC with Project SERVE. Project SERVE takes n… https://t.co/rQoyOd6IzW
Republican,RepArrington,"This week we celebrate the engines of growth driving the US economy, our small businesses. Almost 30 mill. small bu… https://t.co/oEBc8HxG6U"
Democrat,RepBrady,The decision by the Trump Administration to withdraw from the #ParisClimateDeal is simply irresponsible. https://t.co/TsH2c7vD3z
Republican,RepAndyBarr,"It was a privilege to join House Majority Whip Steve Scalise, Chief of Staff of the Army General Milley, &amp; Secretar… https://t.co/QLUsXbP5QQ"
Republican,KenCalvert,Here is my statement on Speaker Paul Ryan’s announcement that he will not seek re-election: https://t.co/9kgZ7EH9V8
Republican,GOPLeader,"#CAHSR is a national disgrace. With no federal money and no current private sector investment, this project is now… https://t.co/au5xPVO56G"
Democrat,RepLujanGrisham,#ICYMI: My office is hosting a Senior Fraud Protection Workshop on 4/20 from 1:30-3:30 p.m. at Bear Canyon Senior C… https://t.co/eE4KU9PJyf
Democrat,RepMaloney,I'm starting my #CincoDeMayo celebrations early by dancing with some amazing constituents in Queens! https://t.co/CM7ujplElj
Republican,RepTomGraves,"Good read in @NewYorker by @nickschmidle about Active Cyber Defense, including my bill to give Americans more tools… https://t.co/f8HXpKNnbX"
Democrat,RepTimRyan,We cannot let this opportunity slip away.  I will do everything in my power to help HomeGoods find a home here in t… https://t.co/77EYVR3uVO
Republican,RepBuddyCarter,.@bobanks1963 thanks for your question! #AskBuddy https://t.co/wP2u0LqEEJ
Republican,RepMikeBishop,"I'm incredibly impressed with the talent Michigan students demonstrated at the 2018 @FRCTeams World Championship, T… https://t.co/ou9TVK5F9c"
Democrat,RepDarrenSoto,"RT @MikeWFerguson: Leah West, staff member for U.S. Congressman Darren Soto (@RepDarrenSoto) and wife of the vice mayor, is inviting commis…"
Republican,VernBuchanan,Surveyed Irma damage with @sarasotasheriff. Focus now is making sure Florida gets disaster aid it needs #sayfie https://t.co/y4OQEIjPsY
Republican,RodneyDavis,I agree @DanielleisB! Thank you for all you &amp; @FightCRC do each day to lead the fight against #colorectalcancer. https://t.co/iJZ89BkYe6
Democrat,RepRoKhanna,"RT @RickSmithShow: Rick: I agree, we can't write off these rural areas. If it weren't for federal laws, the mostly rural area where I live…"
Republican,RepFrankLucas,"As we mourn this senseless tragedy, I stand with our law enforcement officers &amp; their families #DallasPoliceShooting https://t.co/UdQCHaIQdK"
Democrat,RepMarcyKaptur,"RT @RepLloydDoggett: Since 2006, the average cost for a year of medication for someone with a chronic disease has more than doubled to over…"
Republican,RepRodBlum,Talking about North Korea and the swamp on @FoxBusiness in a few minutes- tune in! https://t.co/k1h7U86x9P
Republican,RepAnnWagner,"Together with law enforcement, we can stop the pure evil of modern-day slavery. For more information on the history… https://t.co/8QSdS3plad"
Republican,RepPaulMitchell,"After years of promises by previous Administrations, today — on the 70th anniversary of the founding of the State o… https://t.co/Fcc6wxXd1w"
Democrat,RepKClark,WATCH: I’m delivering this week’s #DemAddress with a message to the millions of Americans relying on the #ACA: Demo… https://t.co/97EcGaQUJs
Republican,RepLaHood,Great way to start the day—volunteering for our local Salvation Army. I‘m continually impressed by the services our… https://t.co/T0aqQTjyrk
Democrat,RepLouCorrea,#Russia hacked 39 state election systems. More proof my bill is vital to our nation’s security. We must develop more offense #cybersecurity
Republican,RepEdRoyce,.@USTreasury actions against corrupt Russian oligarchs are encouraging. We must continue combating Putin's attempts… https://t.co/ndCl7BfVpM
Democrat,RepBrady,President Trump’s outrageous claim that millions of people have voted illegally is unconscionably dangerous to the future of our democracy.
Republican,RepDrewFerguson,"How is tax reform helping families in #GA03 take home more of their paycheck? Text ""TAX REFORM"" to 50589 to find out"
Democrat,repmarkpocan,Every American who wants to serve the U.S. in our military should be allowed to do so openly &amp; without shame.… https://t.co/Els1uEALL1
Democrat,RepTedLieu,#PollutingPruitt’s thoughts on being @EPA administrator: Treat yourself to the high life on the taxpayer’s dime whi… https://t.co/FPooOVV1jh
Republican,RepJohnFaso,Working with colleagues on both sides of the aisle is the most effective way to tackle the issues that will help Ne… https://t.co/6vH9SishTk
Republican,GOPoversight,"Live at 10AM: We examine bills strengthening government oversight and efficiency.
https://t.co/e7it8Ga6Sl https://t.co/WuOUvGUaYF"
Democrat,RepHankJohnson,RT @HouseJudDems: 🚨#BREAKING: @RepJerryNadler Statement On @TheJusticeDept Inspector General Report On Former @FBI Deputy Director #AndrewM…
Democrat,RepDwightEvans,RT @EmmanuelMacron: We will #MakeOurPlanetGreatAgain while creating new jobs and opportunities. I’m sure that one day the United States wil…
Democrat,RepRoKhanna,"Here's a sign that we have an overly complicated, inefficient health care system: insurers pay different prices for… https://t.co/p9BTcMlkux"
Democrat,DWStweets,RT @SoFlaOpinion: @DWStweets: “Those who argue that no single law can ever prevent all of these tragedies are absolutely right. That’s why…
Democrat,RepDennyHeck,"Make Russian sanctions great again, @realdonaldtrump. America's response to election interference should be unwaver… https://t.co/tmIW5ll5TJ"
Democrat,RepDwightEvans,"RT @DemsEspanol: En ocasión del #SmallBusinessWeek, los congresistas @RepDwightEvans (PA-02) y @NydiaVelazquez (NY-07), miembro de alto ran…"
Republican,RepJohnKatko,Each year I'm honored to nominate  #NY24 students to attend U.S. service academies. Deadline to apply is 11/3 --&gt;… https://t.co/HZ1cOX2lPN
Democrat,RepJackyRosen,"Happy National #SmallBusinessWeek! Did you know that Nevada’s small businesses employ over 450,000 people? Check ou… https://t.co/IhXd7Jf5K4"
Democrat,RepJeffries,"It’s time @SpeakerRyan fire so-called Intelligence Committee Chairman Nunes, who continues to embarrass himself, Co… https://t.co/XFxg1rwad9"
Republican,HouseCommerce,"@GreggHarper To learn more about E&amp;C’s legislative and investigative efforts to combat the #OpioidCrisis, visit our… https://t.co/uZFc4mXqvg"
Democrat,RepPeterDeFazio,"RT @uoregon: Thanks @RepPeterDeFazio for meeting today with students from SCORE, our mentorship program for students of color in the scienc…"
Republican,MikeKellyPA,"The facts are clear: the #StateOfTheUnion is as strong as #PA steel! Our economy is roaring, American optimism is s… https://t.co/6WdNahPsU4"
Republican,RepChrisCollins,Collins Supports 5 Year FAA Reauthorization - https://t.co/SoCuYciMq5
Republican,congbillposey,Talking with Channel 13 News after  President Trump's Address to Congress in Statuary Hall #JointAddress https://t.co/x2DgIPVNWE
Democrat,JoaquinCastrotx,"RT @TexasTribune: A nurse from Katy is suing Customs and Border Protection after the agency took $41,000 in cash from her six months ago. A…"
Democrat,RepMcGovern,RT @Witnesses_Natl: .@FoodChoices4All pointing out that #SNAP allows for school students from low-income families to have free lunches at s…
Democrat,RepKihuen,RT @GovSandoval: I have ordered the flags to half-staff today as a mark of respect and in remembrance of Dean Rhoads and in honor of all la…
Republican,HouseAgNews,"RT @AustinScottGA08: Access to high speed internet service is much more than a quality of life issue, it’s also an economic issue. The #201…"
Republican,RepJimBanks,Proud to lead a bipartisan letter to @jensstoltenberg expressing support for Macedonia’s admission to NATO.… https://t.co/C1fGseNbLs
Republican,RepDennisRoss,"Yes. People in need of short-term, small-dollar loans shouldn't be left in dire straits by overreaching regulation.… https://t.co/lxdxpg3znl"
Democrat,RepLindaSanchez,RT @InsulatorsUnion: What a great meeting with Local 5 members and @RepLindaSanchez while in D.C. for the @BldgTrdsUnions Legislative Confe…
Republican,RepDennisRoss,RT @VPPressSec: Coming up shortly—&gt; @VP delivers remarks to the WSJ CEO Council https://t.co/N5Xkdzrzcp
Republican,RepComstock,RT @ABC7GMW: #GMW Recap: @RepComstock and former DEA agents tackle America's #opiod crisis @ABC7Autria https://t.co/tWQttxcYPL
Republican,SteveScalise,All of us on the baseball field last June owe our lives to the bravery of these officers and the U.S. Capitol Polic… https://t.co/BwjhvQn3x4
Democrat,RepRonKind,"Everyone deserves equal pay for equal work. I'm proud to co-sponsor the Paycheck Fairness Act, to make this a reali… https://t.co/dbpFaLTGnc"
Republican,RepJeffDuncan,Enjoyed touring and visiting with folks at Greenfield Industries in Seneca. Thanks for showing me your daily operat… https://t.co/OXmR9ScxRC
Democrat,RepKClark,"On #EqualPayDay, we acknowledge the inequality and abuse that women continue to face in the economy. As one of 94 c… https://t.co/Chx4oWUyhb"
Republican,RepTrey,"Linking bad legislative tricks to disaster recovery is not only bad government, it is immoral and the American people deserve better. 4/4"
Republican,RepBillJohnson,Good luck to Wheelersburg H.S. in the upcoming National Science Bowl Finals. Team won the South Central Ohio Region… https://t.co/1dvmQQVywd
Democrat,RepDanKildee,Spent my morning with the @RedCross installing smoke alarms in Flint! Grateful for their work helping people protec… https://t.co/clnSJFOE4J
Republican,repgregwalden,RT @PowerLunch: Please tune in 2:10P ET/11:10A PT for an interview with Rep Greg Walden @repgregwalden to discuss #Equifax  $EFX
Republican,RepChrisSmith,$50M investment by @USArmy is a testament 2 @CERDEC's record of support for warfighter w/ capabilities that cannot… https://t.co/C2XG4HkZ3l
Republican,HouseCommerce,DYK? - Ratepayers across the country have already paid more than $40 billion for the permanent disposal of spent nu… https://t.co/DIa9AQjK5F
Democrat,RepRobinKelly,The fight to protect #DREAMers is not over. @HouseDemocrats (and a few Republicans) are working to push a “Queen of… https://t.co/k5hI6cQJCC
Republican,USRepLong,"RT @HouseCommerce: Here’s where you can watch this morning’s hearing with @facebook CEO Mark Zuckerberg:
 
💻 Website: https://t.co/dqyGOuzN…"
Republican,RepChrisSmith,"Very impressed by the Nottingham HS GALRE class, these students are going places! https://t.co/ECwmcX91uv"
Republican,Raul_Labrador,Today I received the “Spirit of Enterprise Award” from @USChamber for my 2017 voting record. Proud to back tax refo… https://t.co/6tZRh5vovz
Democrat,repcleaver,Happy Birthday to the one and only Ruth Bader Ginsburg! Thank you for your dedicated service to the nation.… https://t.co/z6MAdJL8kf
Republican,RepHuizenga,Going live on @WOODTV at 6pm to discuss the #SchumerShutdown and my hope for a solution.
Democrat,StaceyPlaskett,RT @BoldGlobalMedia: #BoldTV asks 'Who Do You Admire From Across The Political Aisle?' w/ @tedlieu @FiveThirtyEight's @jodyavirgan @StaceyP…
Republican,VernBuchanan,Pleasure to attend a groundbreaking at @SouthFLMuseum in Bradenton today and spend some quality time with inquisiti… https://t.co/i3pMpOblZK
Democrat,repdonnaedwards,Federal Highway Administration (FHWA) estimates the deficient bridge backlog nationally is $106 billion. #FixTheFund #DeficientBridges /4
Republican,Transport,"#OnThisDay in 1869, the ""Golden Spike"" unites East &amp; West, completing the first U.S. transcontinental #railroad. https://t.co/mF5roNjhlZ"
Democrat,RepLipinski,This investigation – impartial and objective – needs to continue unabated to find everyone involved in these effort… https://t.co/gddoGuoypE
Democrat,keithellison,"RT @RBReich: This is no time for complacency. The midterms are over 6 months away. Typically, only 40 percent of eligible voters take part…"
Republican,JudgeCarter,"My office is participating in the #VeteransHistoryProject! To share your story or learn more, click here: https://t.co/Z0TKCybw97"
Republican,RepTomGarrett,"During #WomensHistoryMonth we honor the legacy of #VA05's Barbara Johns, a fearless #CivilRights pioneer whose brav… https://t.co/cNuRaGjMiQ"
Democrat,sethmoulton,"""$17.4 billion, or 44.3 percent of the total — will go to roughly 200,000 Americans making $1 million or more who c… https://t.co/dM6d4OWXkb"
Republican,RepPeteOlson,"Calling all #TX22 high school artists! TOMORROW, MAY 1st is the deadline to participate in the 2018-2019… https://t.co/ENadqtm5JG"
Republican,rep_stevewomack,"Check out ""Hackett Elementary Live""! https://t.co/1n67tsZCFC"
Democrat,LorettaSanchez,Access to #PaidLeave shouldn’t depend on where you live or work. We need a national standard--pass the #FAMILYAct! https://t.co/B4hEsBaLWM
Republican,RepTipton,"On #HolocaustRemembranceDay, #weremember the 6 million Jews who were murdered during the Holocaust and we pledge… https://t.co/6yM47s0yLD"
Democrat,RepMarcyKaptur,The latest @HouseGOP attempt to cut critical programs through a phony constitutional amendment is an old sad Republ… https://t.co/3Xw4HRi0Rs
Democrat,jahimes,4) He argued against smart gun laws like the ones we have in Connecticut. The ones that we know save lives.
Democrat,RepRoybalAllard,"I want to offer my most sincere thanks, appreciation, and congratulations to all the student artists in this year's… https://t.co/64hbFQK9zA"
Republican,RepAndyBarr,President Macron is the eighth French president to address a joint meeting of Congress. He is the first since Nicol… https://t.co/evwkbzPYf3
Republican,RepRyanZinke,Great to see Montana high school artists and teachers earning huckleberries from the @missoulian https://t.co/LHFwPRu7FP
Republican,RepCharlieDent,"As I have publicly stated on several occasions, it's a mistake to release this memo. No Members of Congress-nor the… https://t.co/LlHskA2MTT"
Democrat,repmarkpocan,"RT @WhipHoyer: This week, the #MakeItInAmerica #ListeningTour is making two stops in the Upper Midwest. Today, I’m discussing entrepreneurs…"
Democrat,GKButterfield,I've lost count of how many times President Trump has threatened or cheered for a government shutdown... https://t.co/6zbyCf3rEa
Democrat,RepJohnYarmuth,RT @HouseBudgetDems: Live NOW: Final hearing on @USCBO oversight. Watch:https://t.co/mcJVKrwQSe
Democrat,JuliaBrownley,"#TeamJulia kicked off the week with friends, food, &amp; phone banking! Join our volunteer team at http://t.co/kNSQLeYki0 #ca26 #juliabrownley"
Republican,RepDougCollins,"#FIRSTSTEPAct focuses on the mothers, fathers, children, and families that we can—and should—help rebuild lives and… https://t.co/HYRdoZEony"
Republican,PeteSessions,"Thanks to Mayor Voelker, the City Council, and the City Of Richardson staff for making Richardson a clean, safe, vi… https://t.co/koaRcyjEP9"
Republican,RepRussell,"Earlier this week I spoke with @NEWS9's Justin Dougherty about my new Waste Watch report.
https://t.co/dGpTcDQCqW"
Democrat,RepGregoryMeeks,"On #WorldMalariaDay,  Malaria Caucus Co-Chairs @RepGregoryMeeks and @RepChrisSmith Urge Renewed U.S. Commitment to… https://t.co/HMbm9rfgir"
Republican,GOPoversight,"RT @GaryShapiro: The U.S. must retain its position as the global leader in #AI. Watch my testimony today on behalf of @CTATech’s 2,200+ mem…"
Republican,RepJimRenacci,Thank you for your service 🙏🏻🇺🇸 https://t.co/rU8sTViPgx
Democrat,RepDeSaulnier,"We came together with friends and family to celebrate the life of Tique Lee Caul, a proud 25 year Antioch resident,… https://t.co/4LxnY3a0th"
Democrat,RepTimWalz,"#SNAP is the most effective anti-hunger program in US history, and that includes helping keep many of our warriors… https://t.co/EWgsytBoEj"
Republican,HouseCommerce,"We are now considering H.R. 5197, Alternatives to Opioids (ALTO) in the Emergency Department Act

Find all bills fr… https://t.co/NK95CvPaDQ"
Democrat,RepRoybalAllard,The average woman working full-time has to wait until April 10 to earn what a man earned by the end of the year bef… https://t.co/4KzdW5GlSw
Republican,RepComstock,Today is #DrugTakeBackDay and we started at the McLean station where our officers and CSB staff were set up for int… https://t.co/SqqoGAm86V
Republican,DrPhilRoe,"Today is National Adoption Day, a day to raise awareness of the almost 110,000 foster children in need of a family… https://t.co/F0zlwZvTYg"
Democrat,RepTerriSewell,OMG! Dave Matthews in the flesh!! Thanks for being in Alabama! #DaveMatthewsBand https://t.co/JscnvXKawH
Republican,GOPpolicy,We paid attention to motivations &amp; interests of #Millennials &amp; ended up with a fresh perspective on the whole workplace @PwC_LLP  #GOPFuture
Republican,RodneyDavis,RT @RepHartzler: This morning I’m speaking on @dcexaminer panel with @reptedyoho and @rodneydavis about the #FarmBill and the needs of rura…
Republican,RepJackBergman,Thank you for your hard work helping families in #Mi01. https://t.co/qiTURIhMd7
Republican,RepPaulCook,#CA08 https://t.co/YyqkdbhxoT
Republican,RepDavidYoung,"TODAY: Join me at my Open Office Hours in Bedford from 2-4 pm. 
https://t.co/ig1vbwIv47"
Democrat,RepWilson,#NeverForget: #BokoHaram sends young girls on suicide bomb missions. #BBOG
Democrat,RepAnnaEshoo,RT @thaoleatherman: Thanks @DearbornJenny @RepAnnaEshoo @SVLeadershipGrp &amp; other executive women group for a great discussion on advancing…
Republican,DarrellIssa,The House just passed the Nuclear Waste Policy Amendments Act. This is an important step forward in moving nuclear… https://t.co/iq07hS9s3R
Democrat,USRepRickNolan,"RT @AntitrustCaucus: Today, the @AntitrustCaucus submitted the following statement for the record for the @SenateCommerce hearing on four o…"
Republican,RepPaulCook,Thanks for your tweet. We must do all we can to protect our homeland. #1 job of gov. #CA08 https://t.co/cf8U4yNVGs
Republican,RepStevePearce,"Thanks to #TaxReform, over 4 million Americans have benefited from tax cut bonuses or a pay raise. To learn more ab… https://t.co/p0R5P3Nq2h"
Democrat,repjohnlewis,"At the apex of the Edmund Pettus Bridge, high above the Alabama River, Hosea Williams asked if I could swim. I said… https://t.co/hDR7jNKOoH"
Democrat,RepJohnYarmuth,@Nofearnofavors4 Please contact my office at 502-582-5129.
Republican,SusanWBrooks,The ADAPT Act requires prescribers to complete Continuing Medical Education (CME) courses on the potential dangers… https://t.co/e1dpwlUUee
Republican,RepMarkMeadows,RT @RepLeeZeldin: New Special Counsel necessary re FISA abuses &amp; misconduct related to how/why Clinton probe ended &amp; Trump-Russia probe beg…
Democrat,RepKathleenRice,Despicable that POTUS would express lack of support &amp; threaten to withhold federal aid from #PuertoRico in the mids… https://t.co/FqRi5uc1VE
Republican,RepJimBanks,RT @IMakeAmerica: Thank you @RepJimBanks for stopping by AEM member company @admasphaltdrum today to meet with the men and women of our ind…
Republican,RepRussell,"Spoke w/ @thehill yesterday about bump stocks and also talked about how we can approach the issue of mass shootings.
https://t.co/myeid1URgK"
Democrat,RepJudyChu,"RT @CAPAC: It is an honor to have former @CAPAC Chair Mike Honda, current Chair @RepJudyChu, and @maziehirono with us to unveil Asian and P…"
Republican,KenCalvert,I agree with @realDonaldTrump – we need to end the Senate filibuster rule on appropriations bills.
Republican,RepScottPerry,I'm humbled to join @MikePenceVP and small business owners from around York County and the 4th District to discuss… https://t.co/7v9qnH1SID
Republican,GOPoversight,"RT @RepPaulMitchell: This AM, I hosted a @GOPoversight roundtable discussion w/ @StateDept, @USDOL and @DHSgov to examine fraud and misuse…"
Republican,RepMGriffith,Congressman Griffith's Weekly E-Newsletter 8.21.17 https://t.co/pK0ZBCpET8
Democrat,RepThompson,"Deputy Rumfelt was a pillar of our community, keeping us safe and serving us honorably. Last night, we recognized h… https://t.co/bfUVM8sc06"
Republican,RepDavidValadao,RT @FWD_us: Thank you Congressman for joining with a bipartisan group of your colleagues to #protectDreamers this week #DACA #USAact https:…
Republican,repdonyoung,"Proud to see my amndts to House-passed NDAA were included -- Missile Defense and Arctic Strategy. Read my stmnt:
https://t.co/LLxppSq0Ri"
Republican,RepublicanStudy,RT @TXRandy14: The Individual Mandate is one of the many crippling aspects of Obamacare. It has got to go. Proud to join my colleagues in s…
Republican,RepMarkMeadows,"Wow--per this new report, the Australian diplomat that supposedly prompted the Russian collusion investigation has… https://t.co/crRDM88nBJ"
Republican,RulesReps,This afternoon at 2 PM the Committee will meet on the CR &amp; the Concealed Carry Reciprocity Act. Watch the hearing L… https://t.co/5fiP82zEmJ
Republican,VernBuchanan,"Pleased @TheJusticeDept is finally taking action to help these victims. Should have happened much sooner #sayfie
https://t.co/v1rkSu9PsD"
Democrat,RepGeneGreen,RT @FEMARegion6: Looking for Texas Recovery Resources? Visit the #HurricaneHarvey Resource Portal at https://t.co/Ncv0onPqAK. Representativ…
Democrat,RepBradAshford,RT @JournalStarNews: The Capitol Christmas tree is in! https://t.co/4tVPZEXibm
Republican,RepBobGibbs,"“In our drive to make Washington accountable, we have eliminated more regulations in our first year than any admini… https://t.co/zD7PWEhsIN"
Republican,RepAndyHarrisMD,Today @ 4:00 I am hosting a town hall meeting at Wicomico High School in Salisbury. I hope to see you there! More i… https://t.co/NadD5MUuUi
Republican,RepRickAllen,Thanks for stopping by! https://t.co/7CuTFWts6B
Democrat,RepSpeier,About to talk to @TheBeatWithAri about the #ComeyMemos https://t.co/LTOAQQlyUt
Republican,RepJohnFaso,Upstate New York has always had a rich tradition of quality agriculture. It’s exciting to see a new generation cont… https://t.co/6gdZk97R5Y
Democrat,RepDanKildee,"RT @TulsiPress: Four years later, it’s still unsafe for #Flint to use water that runs through their faucets to brush their teeth, shower, o…"
Republican,housebudgetGOP,"Chairman @rep_stevewomack: “Members of the House and Senate Budget Committees rely on @USCBO as an objective, impar… https://t.co/MY9N4nimDz"
Democrat,RepDeSaulnier,I joined @LarryBeilABC7 on @abc7newsbayarea for a conversation on the Trump Administration’s attack on vehicle envi… https://t.co/tP4QsP2D0u
Republican,RepMiaLove,Today @SpeakerRyan announced he will leave #Congress next year.  I am filled with gratitude for his friendship and… https://t.co/g7zqxA9vhH
Republican,HouseHomeland,In this month's #TerrorThreatSnapshot: ISIS continues to pose a threat at home and abroad. Read the full report →… https://t.co/VBtAI5Chvj
Republican,RepMikeBishop,"I've made this clear, our Great Lakes must be defended. Reports of potential leaks &amp; pipeline damages remind us of… https://t.co/3rC8cCpDsh"
Republican,KenCalvert,"The training, equipment and readiness funding for our troops is one of my top priorities in Congress. The funding b… https://t.co/nEI6Hx2hUj"
Republican,HouseAdmnGOP,It’s time for Congress to be held accountable for our Nation’s unsustainable spending habits. Our constituents deserve better #NoBudgetNoPay
Republican,RepHuizenga,RT @realDonaldTrump: I will be announcing my decision on the Iran Deal tomorrow from the White House at 2:00pm.
Democrat,RepLoisCapps,"Today we celebrate the 5th anniversary of the end of Don't Ask, Don't Tell. Thank you to all who serve and keep us safe."
Democrat,SupJaniceHahn,Inspired by the students of @BaxterKraken HS in San Pedro who are taking their lives into their own hands and deman… https://t.co/nFa3H8NFK7
Republican,Rep_Hunter,"RT @DriscollBoats: Driscoll is proud to support American maritime industry and our veterans. Thank you for this honor, @Rep_Hunter! https:/…"
Republican,RepByrne,"As we consider the #FarmBill this week, it is critical that we support initiatives that encourage and help those in… https://t.co/9fKpXeVRrK"
Democrat,RepMaloney,@MFJLegal @RepJohnFaso @RepGregoryMeeks I couldn’t agree more and this is why I am fighting against @GOP attacks on… https://t.co/JKaSajLTha
Republican,GOPpolicy,"#Googlers can receive educational reimbursement for courses outside of work, even if it doesn't relate to their role #GOPFuture"
Republican,KeithRothfus,Great work by @DrugFreeQuip Youth Coalition &amp; @onealiquippa to protect &amp; improve the their community by making Fran… https://t.co/TSNYCEX2Ii
Republican,RepMarkWalker,Very proud of Portia Shipman and the lifesaving work she is doing in honor of Sherri Jackson. Portia was our April… https://t.co/IXriQIrfR7
Republican,RodneyDavis,Happening now ➡️ @HouseAgNews mark up of the #2018FarmBill. This bill supports our agricultural producers and inves… https://t.co/Uev3ZRgnQF
Democrat,RepJudyChu,"It's not a game. And until we stop the use of racism, bigotry, and fear to get votes, we all lose. https://t.co/s8c7oVkLb6"
Republican,RepFredUpton,RT @LSCtweets: Congressman @RepFredUpton congratulates LSC on great news on funding but says the fight isn't over. Justice for all is a bip…
Democrat,LloydDoggettTX,As my ad in .@TheVillagerATX states: Your Vote Matters! Early vote now! https://t.co/YUgJxLUsHU
Democrat,RepEBJ,"RT @edworkforcedems: During President Trump’s first year in office, workers have been under attack. #SOTU #ProtectWorkers https://t.co/h2L6…"
Democrat,RepAnnieKuster,Our veterans deserve seamless health care from @DeptVetAffairs and that goal cannot happen while the VA is using it… https://t.co/Ysnd22BnKp
Democrat,repblumenauer,Amazing !!!! Portland’s Grant High School wins national constitution contest and Lincoln finishes 3rd. Dominating..… https://t.co/0Esv3rNnrY
Democrat,RepRubenGallego,I wouldn't be where I am today without my mom. Feliz #DíaDeLasMadres to her and all of the other hardworking Latina… https://t.co/EL8KQd2G4e
